product_id,asin,title,category,subcategory,brand,price,launch_date
0b0bc5f3-1c05-4043-b1f6-07388f6b478a,B362950628,SmartTech Smartphones Purpose,Electronics,Smartphones,SmartTech,354.24,2023-02-20
7d61c515-e2d8-4129-ae87-5304a5237f4c,B734036506,TechPro Cameras Ago,Electronics,Cameras,TechPro,647.33,2023-11-02
e94d67db-dd0b-4fd4-b876-eb5e544c60fb,B349817734,DigitalMax Smartphones Election,Electronics,Smartphones,DigitalMax,770.4,2023-08-13
c984f353-59c1-4389-9bad-ed08043e34f3,B868820204,DigitalMax Cameras Chair,Electronics,Cameras,DigitalMax,983.58,2023-02-07
8c6bf568-665d-4a3e-9f17-1e1bd6bc42eb,B582334538,FitMax Team Sports Require,Sports,Team Sports,FitMax,243.92,2024-12-26
d77b3573-71f1-452a-bb70-bbc842f475e9,B465341213,ElectroCore Laptops Begin,Electronics,Laptops,ElectroCore,434.86,2025-03-06
2ebd7796-eb89-42ca-831e-ede673afef02,B199585092,StyleMax Kids Clothing Knowledge,Clothing,Kids Clothing,StyleMax,104.28,2022-10-20
2cf6cb27-91af-4d40-accc-8053fe8bb32e,B384027113,CozySpace Bedding All,Home & Kitchen,Bedding,CozySpace,486.59,2023-01-24
ebe12aa0-5e02-4515-8387-a4aa6b064fb1,B506448196,BookWorks Comics Discover,Books,Comics,BookWorks,10.92,2023-08-28
a9fb473f-4335-481c-aa1c-0b150872c268,B719927151,ComfortHome Storage Mouth,Home & Kitchen,Storage,ComfortHome,125.07,2025-03-24
d288f844-05ac-4da6-9507-4cb130de38f1,B930075810,DigitalMax Smartphones Agreement,Electronics,Smartphones,DigitalMax,451.85,2025-01-19
a48fefca-dc80-40ff-9ab2-fc9ebec4ab9d,B508157429,TechPro Laptops Decide,Electronics,Laptops,TechPro,435.01,2025-06-06
528f5120-5d32-4d35-b0e4-eb4672ffa84c,B481469012,ComfortHome Kitchen Appliances Science,Home & Kitchen,Kitchen Appliances,ComfortHome,135.19,2024-12-25
ed260fe8-5080-45d7-b820-abcc0c94e066,B781802744,CozySpace Furniture Kind,Home & Kitchen,Furniture,CozySpace,112.63,2023-08-09
d96a2ffe-6bea-4f80-ba8c-4b4855c61dc1,B507437181,ComfortFit Women Clothing List,Clothing,Women Clothing,ComfortFit,78.44,2025-03-04
0a74c8bf-6c52-4f9f-995e-add8cbf52c4b,B924970419,ActiveGear Outdoor Gear Fall,Sports,Outdoor Gear,ActiveGear,314.88,2022-09-11
91ab8b32-4d13-4982-8fa1-071237763e4f,B530747414,TrendWear Men Clothing Song,Clothing,Men Clothing,TrendWear,77.92,2023-05-07
61fa13b0-ef76-4c3a-b71a-92fa82e11415,B328306011,TrendWear Accessories Save,Clothing,Accessories,TrendWear,169.03,2024-06-18
182b6bc3-2dec-47e4-8af0-427ee3290c95,B384412919,ReadMore Children Books Grow,Books,Children Books,ReadMore,13.17,2023-11-06
a19580c5-f38d-4298-9295-6dc1e2999f07,B902099969,ActiveGear Water Sports Clearly,Sports,Water Sports,ActiveGear,242.14,2023-08-01
f893b7b7-374c-408a-a7e3-6ef9652a4af8,B335493870,ActiveGear Team Sports Source,Sports,Team Sports,ActiveGear,398.98,2024-02-05
4664e69d-70d4-4521-ba00-45e8aef70711,B197613238,ComfortFit Accessories Blue,Clothing,Accessories,ComfortFit,192.61,2023-01-23
d0d8b092-e0f0-49b8-ad27-6380a2f91479,B950488739,DigitalMax Laptops Husband,Electronics,Laptops,DigitalMax,1028.71,2023-01-29
0579f22a-f05e-4e07-8512-fcde84e0eba1,B509760584,SportElite Exercise Equipment Her,Sports,Exercise Equipment,SportElite,246.44,2024-02-17
cf22316b-5b00-4402-a22d-35fe3e5532c8,B694021782,StoryCraft Comics Pm,Books,Comics,StoryCraft,39.85,2023-10-16
d47586eb-3cdd-4686-a19d-d937b57c9645,B906248900,TechWave Smartphones Surface,Electronics,Smartphones,TechWave,418.57,2022-11-07
cf2f788f-c1f7-43c9-ae4d-99b52a6b6a55,B566825638,ComfortHome Furniture Show,Home & Kitchen,Furniture,ComfortHome,105.0,2024-08-14
f640c567-7c00-4aef-b85a-835117c5b17b,B918150683,TechWave Headphones Not,Electronics,Headphones,TechWave,288.51,2023-03-13
eb64b874-b7a4-4f77-8d5b-3947c31d1d39,B753876785,TechWave Headphones Win,Electronics,Headphones,TechWave,318.39,2024-04-11
6727e813-1316-4410-8a7a-c688bb918c89,B936043811,CozySpace Kitchen Appliances Bar,Home & Kitchen,Kitchen Appliances,CozySpace,554.39,2025-01-05
1a5ccc17-4104-48b0-865e-bbac09531cad,B624636385,SmartTech Cameras Finally,Electronics,Cameras,SmartTech,53.73,2025-05-04
d71ddf48-3563-423d-bcb9-748cab5a7daa,B162196678,KitchenMaster Bedding Present,Home & Kitchen,Bedding,KitchenMaster,153.63,2024-03-15
